loss,accuracy,val_loss,val_accuracy,epoch
0.0028407529462128878,0.9994122385978699,0.7459890842437744,0.9270588159561157,1
0.0077929869294166565,0.9978448152542114,0.4001622796058655,0.9341176748275757,2
0.005005926825106144,0.9984325766563416,0.399686336517334,0.932548999786377,3
0.0015982015756890178,0.9996081590652466,0.38741999864578247,0.9419608116149902,4
6.690403097309172e-05,1.0,0.4034517705440521,0.9427450895309448,5
9.266306733479723e-05,1.0,0.42134225368499756,0.9435294270515442,6
1.692720252322033e-05,1.0,0.42490243911743164,0.9443137049674988,7
1.4383218513103202e-05,1.0,0.42082518339157104,0.9435294270515442,8
1.5685116522945464e-05,1.0,0.42389604449272156,0.9435294270515442,9
9.808552931644954e-06,1.0,0.4245789647102356,0.9450980424880981,10
