loss,accuracy,val_loss,val_accuracy,epoch
0.910271406173706,0.6906347870826721,0.48792895674705505,0.818823516368866,1
0.3462081551551819,0.8722570538520813,0.3785738945007324,0.8596078157424927,2
0.2252362221479416,0.9128134846687317,0.3478814363479614,0.8705882430076599,3
0.16841952502727509,0.9369122385978699,0.2973697781562805,0.8917647004127502,4
0.1326814889907837,0.9443573951721191,0.2544918954372406,0.9066666960716248,5
0.10485926270484924,0.9549372792243958,0.2547486424446106,0.905098021030426,6
0.09112723171710968,0.9608150720596313,0.2362072765827179,0.9074509739875793,7
0.07677961140871048,0.9668887257575989,0.20431973040103912,0.9184314012527466,8
0.07505904138088226,0.9670846462249756,0.24465599656105042,0.9082353115081787,9
0.1045437902212143,0.9606191515922546,0.3001144230365753,0.8909803628921509,10
