loss,accuracy,val_loss,val_accuracy,epoch
1.0187996625900269,0.649882435798645,0.5006793737411499,0.8164705634117126,1
0.4755188226699829,0.8317006230354309,0.4382159113883972,0.8447058796882629,2
0.34875619411468506,0.867358922958374,0.3404276669025421,0.8705882430076599,3
0.27716246247291565,0.8889106512069702,0.2834595739841461,0.8839215636253357,4
0.23432065546512604,0.9104623794555664,0.2895275056362152,0.8745098114013672,5
0.19583238661289215,0.920258641242981,0.26365581154823303,0.8933333158493042,6
0.1704809069633484,0.9296630024909973,0.22869236767292023,0.8996078372001648,7
0.14927615225315094,0.9365203976631165,0.21189823746681213,0.910588264465332,8
0.13420389592647552,0.941418468952179,0.24449926614761353,0.8996078372001648,9
0.13531725108623505,0.9404388666152954,0.2504366636276245,0.9027451276779175,10
