loss,accuracy,val_loss,val_accuracy,epoch
0.9487169981002808,0.6690830588340759,0.5427398085594177,0.8039215803146362,1
0.43213576078414917,0.8391457796096802,0.3806147277355194,0.8501960635185242,2
0.3098149299621582,0.8810736536979675,0.2886417508125305,0.8807843327522278,3
0.2582383155822754,0.8953761458396912,0.29324379563331604,0.879215657711029,4
0.21581648290157318,0.9145768284797668,0.2385752946138382,0.9035294055938721,5
0.18220621347427368,0.922805666923523,0.23849985003471375,0.8972548842430115,6
0.1619679033756256,0.9355407357215881,0.224753275513649,0.9043137431144714,7
0.14118506014347076,0.9404388666152954,0.24328553676605225,0.8988234996795654,8
0.1304502636194229,0.9437695741653442,0.2011948525905609,0.9082353115081787,9
0.12213227897882462,0.9490595459938049,0.23713919520378113,0.9074509739875793,10
