loss,accuracy,val_loss,val_accuracy,epoch
0.9217321872711182,0.683581531047821,0.4804667532444,0.8141176700592041,1
0.35555997490882874,0.8718652129173279,0.34724560379981995,0.8596078157424927,2
0.23694531619548798,0.912617564201355,0.33569401502609253,0.886274516582489,3
0.16814637184143066,0.9369122385978699,0.2712632715702057,0.8925490379333496,4
0.12648378312587738,0.9498432874679565,0.28394559025764465,0.8956862688064575,5
0.11539950966835022,0.9537617564201355,0.24364250898361206,0.9066666960716248,6
0.08965304493904114,0.9629701972007751,0.25803500413894653,0.9019607901573181,7
0.09035647660493851,0.9612069129943848,0.27151015400886536,0.8901960849761963,8
0.07829800993204117,0.9641457796096802,0.2989189028739929,0.8956862688064575,9
0.07584524154663086,0.9659090638160706,0.3259628117084503,0.8996078372001648,10
